Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acoplamiento FUNDAL FA/C,,,,,,,,
Tamaño,Torque (Nm),Dimensiones generales (mm),,,,,,
,,Ø A,E,F,Volante  SAE,,,
,,,,,11.5,,14,
,,,,,G,L,G,L
FA 4,373,124,40,50,70,160,,
FA 5,755,150,53,65,70,188,,
FA 6,1059,168,60,65,70,195,,
FA 7,2030,212,60,95,80,235,103,258
FA 8,2599,235,80,95,80,255,103,278
FA 9,7063,287,100,120,80,300,103,323
FA 10,11821,355,120,155,,,110,385
FA 11,21915,435,140,185,,,110,435
,,,,,,,,
,,,,,,,,
Volante  SAE,ØB (mm),ØC (mm),Cantidad de agujeros roscados,Tipo de rosca,,,,
,,,,,,,,
6.5,215.9,200.025,6,"5/16""-18",,,,
7.5,241.3,222.25,8,"5/16""-18",,,,
8,263.535,244.475,6,"3/8""-16",,,,
10,314.325,295.275,8,"3/8""-16",,,,
11.5,352.425,333.375,8,"3/8""-16",,,,
14,466.725,438.15,8,"1/2""-13",,,,
16,517.525,488.95,8,"1/2""-13",,,,
18,571.5,542.925,6,"5/8""-11",,,,
21,673.1,641.35,12,"5/8""-11",,,,
24,733.425,692.15,12,"3/4""-10",,,,
