Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Acoplamiento FAS NG LP,,,,,,,,,,,,,
Tamaño,Torque (Nm),Velocidad Máxima (rpm),Dimensiones generales (mm),,,,,,,,,,
,,,Cubo Estándar,,,Cubo Mayorado,,,Ø B,C,D,F,G
,,,ØE Min,ØE Max,ØA,ØE Min,ØE Max,ØA,,,,,
FAS NG 7 LP,8400,2200,40,90,145,-,-,-,230,255,80,39,90
FAS NG 8 LP,11500,2000,40,100,155,-,-,-,268,280,80,39,100
FAS NG 9 A LP,20000,1800,50,120,190,110,130,200,290,310,90,48,110
FAS NG 9 LP,25000,1500,80,130,195,-,-,-,320,334,94,48,120
FAS NG 10 LP,50000,1300,90,180,290,160,200,310,425,464,148,76,160
FAS NG 11 LP,72000,1200,100,200,300,180,213,330,470,490,152,76,172
FAS NG 12 LP,105000,1100,110,230,350,210,250,390,550,590,195,105,200
FAS NG 14 LP ,195000,1000,150,260,400,240,316,490,660,640,205,105,220
FAS NG 16 LP,360000,890,150,290,450,270,316,490,705,705,208,108,250
FAS NG 18 LP,450000,810,180,330,500,310,350,540,745,842,245,135,300
FAS NG 20 LP,685000,780,230,360,550,340,390,610,825,882,246,135,320
FAS NG 22 LP,1100000,750,250,420,600,-,-,-,870,1048,352,212,350
